Topic,ID,Title,Difficulty,LeetCode,GFG,Video
Linked Lists,ll-14,Flatten a Multilevel Doubly Linked List,Medium,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/description/,,https://youtu.be/hRHa96QFdNA?si=VXxvXb-gH_YCs2eg
Linked Lists,ll-15,Remove Duplicates from an Unsorted Linked List,Medium,,https://www.geeksforgeeks.org/dsa/remove-duplicates-from-an-unsorted-linked-list/,https://youtu.be/dAZJgVFHpqA?si=qKVPU2eN8G0FED60
Linked Lists,ll-16,Design Linked List,Medium,https://leetcode.com/problems/design-linked-list/,,https://youtu.be/Wf4QhpdVFQo?si=uNG4eK_w7EDOg2BL
Linked Lists,ll-17,Reverse Nodes in k-Group,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/description/,,https://youtu.be/1UOPsfP85V4?si=GfGVTTiVfZ-cCHy8
Linked Lists,heap-15,Merge K Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,,https://youtu.be/q5a5OiGbT6Q?si=jLTuYgFmXjtB4jVo
Linked Lists,ll-19,Design a Text Editor,Hard,https://leetcode.com/problems/design-a-text-editor/description,,https://youtu.be/ASWavSuip1I?si=umyXrzFLeNORXz-H
Binary Tree,bt-1,Diameter of Binary Tree,Easy,https://leetcode.com/problems/diameter-of-binary-tree/description,,
Binary Tree,bt-2,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree/description/,,https://youtu.be/OnSn2XEQ4MY?si=Z5GlbmQTq2exmd3A
Binary Tree,bt-3,Inorder Traversal,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/description/,,https://youtu.be/-b2lciNd2L4?si=t7TcXe9dei4xRI7W
Binary Tree,bt-4,Preorder Traversal,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/description/,,https://youtu.be/-b2lciNd2L4?si=t7TcXe9dei4xRI7W
Binary Tree,bt-5,Postorder Traversal,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/,,https://youtu.be/-b2lciNd2L4?si=t7TcXe9dei4xRI7W
Binary Tree,bt-6,Height of Binary Tree (Maximum Depth),Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/,,https://youtu.be/Y0m0v3P1UOw?si=C0hTY7v4oIAuN7I_
Binary Tree,bt-7,Cousins in Binary Tree,Easy,https://leetcode.com/problems/cousins-in-binary-tree/description/,,https://youtu.be/1ybprmfjpGY?si=vD4VYLJ50i1awMxm
Binary Tree,bt-8,Binary Tree Paths,Easy,https://leetcode.com/problems/binary-tree-paths/description,,https://youtu.be/H2D4HcVZq_g?si=qRQj0AUecDflTNcp
Binary Tree,bt-9,Check if Binary Tree is Heap,Easy,,https://www.geeksforgeeks.org/dsa/check-if-a-given-binary-tree-is-heap/,https://youtu.be/qNID9jDx0IA?si=F8nJM3Z9_j2khAHF
Binary Tree,bt-10,Find Parent of a Node,Easy,,https://www.geeksforgeeks.org/dsa/find-the-parent-of-a-node-in-the-given-binary-tree/,https://youtu.be/4p4EI3whzr0?si=QZa8tx14v3-5PEV7
Binary Tree,bt-11,Minimum Depth of Binary Tree,Easy,https://leetcode.com/problems/minimum-depth-of-binary-tree/description/,,https://youtu.be/nEJtZZM011c?si=JbdpBet18AD1Hgxu
Binary Tree,bt-12,Check if Two Binary Trees are Identical (Same Tree),Easy,https://leetcode.com/problems/same-tree/description/,,https://youtu.be/vRbbcKXCxOw?si=NNxWP2FCcBvcsJiO
Binary Tree,bt-13,Connect Nodes in Same Level (Populating Next Right Pointers),Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,,https://youtu.be/ofIl2f2YHSc?si=sjkVpl9ksYliWEEt
Binary Tree,bt-14,Maximum Level Sum of a Binary Tree,Medium,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/description/,,https://youtu.be/ROX1vjoBqPs?si=olxITVymJPHnR4nK
Binary Tree,bt-15,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,,https://youtu.be/6ZnyEApgFYg?si=7SWV_1KVkuckl5OY
Binary Tree,bt-16,Zigzag Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,https://youtu.be/y3lJY5ofLro?si=FdUTEVu7f01Mr7MP
Binary Tree,bt-17,Left View of Binary Tree,Medium,,https://www.geeksforgeeks.org/dsa/print-left-view-binary-tree/,https://youtu.be/KV4mRzTjlAk?si=X-MEaaF_vivUf8Et
Binary Tree,bt-18,Binary Tree Right Side View,Medium,https://leetcode.com/problems/binary-tree-right-side-view/description/,,https://youtu.be/KV4mRzTjlAk?si=X-MEaaF_vivUf8Et
Binary Tree,bt-19,Find Inorder Predecessor and Successor,Medium,,https://www.geeksforgeeks.org/dsa/inorder-predecessor-successor-given-key-bst/,https://youtu.be/SXKAD2svfmI?si=EZW8-Pv_o50s_Ijp
